Book title,Book Author
books ,Donald Goines
Papillon,Henri Charriere
I Can’t Breathe: A Killing on Bay Street,Matt Taibbi
The Dark Side of Camelot,Seymour M. Hersh
Anna Karenina,Leo Tolstoy
Acheson: The Secretary of State Who Created the American World,James Chace
Insane Clown President: Dispatches from the 2016 Circus,James Chace
The Test of Our Times: America Under Siege…And How We Can Be Safe Again,Tom Ridge with Larry Bloom
Fear and Loathing on the Campaign Trail ’72,Hunter S. Thompson
Famous Con Artists In History: A Biography of Victor Lustig,Unknown
"Griftopia: A Story of Bankers, Politicians, and the Most Audacious Power Grab in American History",Matt Taibbi
"Octopus: Sam Israel, the Secret Market, and Wall Street’s Wildest Con",Guy Lawson
Dead Doctors Don’t Lie,Joel D. Wallach & Ma Lan
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
Mind Gym: An Athlete’s Guide to Inner Excellence,Gary Mack with David Casstevens
How Champions Think: In Sports and in Life,Dr. Bob Rotella with Bob Cullen
The Art and Science of Low Carbohydrate Performance,Jeff S. Volek & Stephen D. Phinney
The Art and Science of Low Carbohydrate Living,Jeff S. Volek & Stephen D. Phinney
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Matthew Walker, PhD"
Open Water Swimming: A Complete Guide for Distance Swimmers and Triathletes,Penny Dean
Coyote America: A Natural and Supernatural History,Dan Flores
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
Core Archery: Shooting With Proper Back Tension,Larry Wise
The Secret Race: Inside the Hidden World of the Tour de France,Tyler Hamilton & Daniel Coyle
The Way of the Fight,Georges St-Pierre
Islam and the Future of Tolerance: A Dialogue,Sam Harris & Maajid Nawaz
Radical: My Journey out of Islamist Extremism,Maajid Nawaz
books ,George Orwell
books ,J.R.R. Tolkien
Milestones,Sayed Qutb
The Bell Curve: Intelligence and Class Structure in American Life,Richard J. Herrnstein & Charles Murray
The Qur’an,
The Hadith,Muhammad al-Bukhari
Lost Connections: Uncovering the Real Causes of Depression – and the Unexpected Solutions,Johann Hari
The Sacred Mushroom and The Cross,John Marco Allegro
Dead Sea Scrolls and the Christian Myth,John Marco Allegro
books ,Steven Rinella
The Starr Report: The Findings of Independent Counsel Kenneth W. Starr on President Clinton and the Lewinsky Affair,Kenneth W. Starr
The Bible,
Traffic: Why We Drive the Way We Do (and What It Says About Us),Tom Vanderbilt
Breaking Open the Head: A Psychedelic Journey into the Heart of Contemporary Shamanism,Daniel Pinchbeck
Bar Brawler,David “Tank” Abbott
Tao of Jeet Kune Do,Bruce Lee
Walden,Henry David Thoreau
books ,Mark Sisson
books ,Robb Wolf
"Blood in the Cage: Mixed Martial Arts, Pat Miletich, and the Furious Rise of the UFC",L. Jon Wertheim
"Running the Table: The Legend of Kid Delicious, the Last Great American Pool Hustler",L. Jon Wertheim
Scorecasting: The Hidden Influences Behind How Sports Are Played and Games Are Won,Tobias Moskowitz &‎ L. Jon Wertheim
A Wrinkle In Time,Madeleine L’Engle
Sick in the Head: Conversations About Life and Comedy,Judd Apatow
The Da Vinci Code,Dan Brown
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
Critical Path,R. Buckminster Fuller
The Bell Curve: Intelligence and Class Structure in American Life,Richard J. Herrnstein & Charles Murray
Civilized to Death: What Was Lost on the Way to Modernity,Christopher Ryan
Tangentially Reading,Christopher Ryan
The Marriage of Heaven and Hell,William Blake
Tribe: On Homecoming and Belonging,Sebastian Junger
The Call of the Wild,Jack London
At Play In The Fields of the Lord,Peter Matthiessen
The Natural Mind: A Revolutionary Approach to the Drug Problem,"Andrew Weil, MD"
The Marriage of the Sun and Moon: Dispatches from the Frontiers of Consciousness,"Andrew Weil, MD"
From Chocolate to Morphine: Everything You Need to Know About Mind-Altering Drugs,"Andrew Weil, MD"
Cultural Materialism: The Struggle for a Science of Culture,Marvin Harris
Coyote America: A Natural and Supernatural History,Dan Flores
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
The Todd Glass Situation,Todd Glass
The Westies: Inside New York’s Irish Mob,T.J. English
Havana Nocturne: How the Mob Owned Cuba and Then Lost It to the Revolution,T.J. English
The Corporation: An Epic Story of the Cuban American Underworld,T.J. English
Murder Machine,Gene Mustain & Jerry Capeci
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,Peter Schweizer
Clinton Cash: The Untold Story of How and Why Foreign Governments and Businesses Helped Make Bill and Hillary Rich,Peter Schweizer
Tigrero!,Sasha Siemel
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann
Coyote America: A Natural and Supernatural History,Dan Flores
Out There: A Story of Ultra Recovery,David Clark
Ready Player One,Ernest Cline
Tribe: On Homecoming and Belonging,Sebastian Junger
The Bible,
From Beyond,H. P. Lovecraft
(unspecified book),Mark Twain
Born Standing Up: A Comic’s Life,Steve Martin
Coyote America: A Natural and Supernatural History,Dan Flores
Tribe: On Homecoming and Belonging,Sebastian Junger
The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan Watts
Conan: The Barbarian,Robert E. Howard
"Buck, Buck, Moose: Recipes and Techniques for Cooking Deer, Elk, Moose, Antelope and Other Antlered Things",Hank Shaw
"Duck, Duck, Goose: The Ultimate Guide to Cooking Waterfowl, Both Farmed and Wild",Hank Shaw
"The Fourth Age: Smart Robots, Conscious Computers, and the Future of Humanity",Byron Reese
The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David Epstein
How To Fix The Future,Andrew Keen
The Internet Is Not the Answer,Andrew Keen
The Cult of the Amateur,Andrew Keen
The War Against Boys: How Misguided Policies are Harming Our Young Men,Christina Hoff Sommers
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
Scarcity: The New Science of Having Less and How It Defines Our Lives,Sendhil Mullainathan & Eldar Shafir
The Theory of Moral Sentiments,Adam Smith
The Wealth of Nations,Adam Smith
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth
"Republic, Lost: How Money Corrupts Congress – and a Plan to Stop It",Lawrence Lessig
So Damn Much Money: The Triumph of Lobbying and the Corrosion of American Government,Robert G. Kaiser
Walden,Henry David Thoreau
Humility Is the New Smart: Rethinking Human Excellence in the Smart Machine Age,Edward D. Hess & Katherine Ludwig
"Powershift: Knowledge, Wealth, and Violence at the Edge of the 21st Century",Alvin Toffler
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb
"The Strange Order of Things: Life, Feeling, and the Making of Cultures",Antonio Damasio
On The Road,Jack Kerouac
Fear and Loathing on the Campaign Trail ’72,Hunter S. Thompson
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson
Walden,Henry David Thoreau
Turtles All the Way Down,John Green
A Brief History of Time,Stephen Hawking
The Tibetan Book of the Dead,
My Life,Bill Clinton
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann
Coyote America: A Natural and Supernatural History,Dan Flores
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall
The Primal Blueprint,Mark Sisson
The Dead Zone,Stephen King
MSC (Mesenchymal Stem Cells): Clinical Evidence Leading Medicine’s Next Frontier,Neil Riordan & Thomas Ichim
Stem Cell Therapy: A Rising Tide,Neil Riordan
Outliers: The Story of Success,Malcolm Gladwell
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
The Satanic Verses,Salman Rushdie
The Jewel of Medina,Sherry Jones
The Qur’an,
The Bible,
Agent Storm: My Life Inside al Qaeda and the CIA,Morten Storm with Tim Lister & Paul Cruickshank
The God Delusion,Richard Dawkins
"The Strange Death of Europe: Immigration, Identity, Islam",Douglas Murray
The Seven Sins of Memory: How the Mind Forgets and Remembers,Daniel L. Schacter
(unspecified book),Dr. Seuss
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
Twelve Steps and Twelve Traditions,Alcoholics Anonymous
The Bible,
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships ",Christopher Ryan & Cacilda Jetha
The Rubaiyat of Omar Khayyam,Omar Khayyam
Lost Connections: Uncovering the Real Causes of Depression – and the Unexpected Solutions,Johann Hari
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
What’s the Matter With Kansas: How Conservatives Won the Heart of America,Thomas Frank
"Listen, Liberal: Or, What Ever Happened to the Party of the People?",Thomas Frank
Born Standing Up: A Comic’s Life,Steve Martin
American Desperado: My Life-From Mafia Soldier to Cocaine Cowboy to Secret Government Asset,Jon Roberts & Evan Wright
Lost Connections: Uncovering the Real Causes of Depression – and the Unexpected Solutions,Johann Hari
Chasing the Scream: The First and Last Days of the War on Drugs,Johann Hari
Virtually Normal: An Argument about Homosexuality,Andrew Sullivan
Marianne Faithfull: A Life on Record,Marianne Faithfull
Sapiens: A Brief History of Humankind,Yuval Noah Harari
John Dee and the Empire of Angels: Enochian Magick and the Occult Roots of the Modern World,Jason Louv
Discourse on the Method of Rightly Conducting One’s Reason and of Seeking Truth,René Descartes
The Bible,
The Wisdom of No Escape and the Path of Loving-Kindness,Pema Chodron
Understanding Media: The Extensions of Man,Marshall McLuhan
My Life,Bill Clinton
Trump: The Art of the Deal,Donald Trump with Tony Schwartz
The Book of Five Rings,Miyamoto Musashi
Musashi,Eiji Yoshikawa
The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb
Supertraining,Yuri Verkhoshansky & Mel Siff
Science and Practice of Strength Training,Vladimir Zatsiorsky & William Kraemer
Science of Sports Training: How to Plan and Control Training for Peak Performance,Thomas Kurz
books about the assassination of JFK,
The Call of the Wild,Jack London
White Fang,Jack London
The Selfish Gene,Richard Dawkins
The Sense of Style: The Thinking Person’s Guide to Writing in the 21st Century,Steven Pinker
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker
books ,Mark Twain
Tao of Jeet Kune Do,Bruce Lee
Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association
Starting Strength: Basic Barbell Training,Mark Rippetoe
Tao of Jeet Kune Do,Bruce Lee
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
The Gulag Archipelago,Aleksandr Solzhenitsyn
The Possessed (Devils),Fyodor Dostoevsky
The Road to Wigan Pier,George Orwell
The Bible,
Panzram: A Journal of Murder,Carl Panzram
Concluding Unscientific Postscript,Søren Kierkegaard
Harry Potter series,J.K. Rowling
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
The Non-Tinfoil Guide to EMFs: How to Fix Our Stupid Use of Technology,Nicolas Pineault
The Salt Fix: Why the Experts Got It All Wrong–and How Eating More Might Save Your Life,Dr. James DiNicolantonio
The Multi-Orgasmic Man: Sexual Secrets Every Man Should Know,Mantak Chia & Douglas Abrams
"Deep: Freediving, Renegade Science, and What the Ocean Tells Us About Ourselves",James Nestor
Sapiens: A Brief History of Humankind,Yuval Noah Harari
Biochemical Individuality,Roger J. Williams
The Jungle Effect: Healthiest Diets from Around the World–Why They Work and How to Make Them Work for You,Daphne Miller
The Wahls Protocol: A Radical New Way to Treat All Chronic Autoimmune Conditions Using Paleo Principles,"Terry Wahls, M.D."
The Plant Paradox: The Hidden Dangers in “Healthy” Foods That Cause Disease and Weight Gain,Steven R Gundry
"Heavens on Earth: The Scientific Search for the Afterlife, Immortality, and Utopia",Michael Shermer
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer
Into The Wild,John Krakauer
The Book of Mormon,Joseph Smith Jr. (translator)
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Proof of Heaven: A Neurosurgeon’s Journey into the Afterlife,Eben Alexander
On The Move: A Life,Oliver Sacks
Waking Up: A Guide to Spirituality Without Religion Reprint Edition,Sam Harris
The Doors of Perception and Heaven and Hell,Aldous Huxley
DMT: The Spirit Molecule,Rick Strassman
The Bible,
books ,Dan Brown
The Complete Dead Sea Scrolls in English,Geza Vermes
The Sacred Mushroom and the Cross,John Marco Allegro
The Dead Sea Scrolls and the Christian Myth,John Marco Allegro
"The Square and the Tower: Networks and Power, from the Freemasons to Facebook",Niall Ferguson
A Universe from Nothing: Why There Is Something Rather than Nothing,Lawrence M. Krauss
Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright
The Murderer Next Door: Why the Mind Is Designed to Kill,David M. Buss
Accidental Brothers: The Story of Twins Exchanged at Birth and the Power of Nature and Nurture,Nancy L. Segal & Yesika S. Montoya
Born Together―Reared Apart: The Landmark Minnesota Twin Study,Nancy L. Segal
The Selfish Gene,Richard Dawkins
River Out of Eden: A Darwinian View of Life,Richard Dawkins
(unspecified book),Gary Taubes
The Primal Blueprint,Mark Sisson
The Secret,Rhonda Byrne
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
The Doomsday Machine: Confessions of a Nuclear War Planner,Daniel Ellsberg
The Internationalists: How a Radical Plan to Outlaw War Remade the World,Oona A. Hathaway & Scott J. Shapiro
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall
I’m Fine…And Other Lies,Whitney Cummings
books by John Bowl,(on Attachment Theory)
This Is It!: The Secret Lives of Dr. Conrad Murray and Michael Jackson,Conrad Murray
Dangerous,Milo Yiannopoulos
The Secret,Rhonda Byrne
The Rise of Superman: Decoding the Science of Ultimate Human Performance,Steven Kotler
books about Lee Kuan Yew,
MSC (Mesenchymal Stem Cells): Clinical Evidence Leading Medicine’s Next Frontier,Neil Riordan & Thomas Ichim
Stem Cell Therapy: A Rising Tide,Neil Riordan
The Holographic Universe,Michael Talbot
The Alchemist,Paulo Coelho
Linda Goodman’s Love Signs: A New Approach to the Human Heart,Linda Goodman
Pretty Intense,Danica Patrick
Becoming a Supple Leopard,Kelly Starrett & Glen Cordoza
DMT: The Spirit Molecule,Rick Strassman
The Bible,
Fighting For Air: The Battle to Control America’s Media,Eric Klinenberg
Letter From A Birmingham Jail,Martin Luther King Jr.
A Modest Proposal,Jonathon Swift
Mastering Jujitsu,Renzo Gracie & John Danaher
Conan The Barbarian,Robert E. Howard
books ,Jack Kerouac
The Head Trip: Adventures on the Wheel of Consciousness,Jeff Warren
Shoulder Pain? The Solution & Prevention ,"John M. Kirsch, M.D."
Meditation for Fidgety Skeptics,Dan Harris & Jeffrey Warren
Waking Up: A Guide to Spirituality Without Religion,Sam Harris
Tattoos on the Heart: The Power of Boundless Compassion,Gregory Boyle
The Secret,Rhonda Byrne
The Power of Positive Thinking,Norman Vincent Peale
Think and Grow Rich,Napoleon Hill
The Varieties of Religious Experience,William James
10% Happier,Dan Harris
The Upanishads,Eknath Easwaran (Translator)
In the Buddha’s Words: An Anthology of Discourses from the Pali Canon,Bhikkhu Bodhi
The Bhagavad Gita,Eknath Easwaran (Translator)
The Postman,David Brin
The Secret,Rhonda Byrne
books ,Gary Vaynerchuk
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield
Fight for the Forgotten,Justin Wren
Lost Tycoon: The Many Lives of Donald J. Trump,Harry Hurt III
10% Happier,Dan Harris
Men Like Gods,H. G. Wells
When The Sleeper Wakes,H. G. Wells
Food of the Gods,Terence McKenna
Sapiens: A Brief History of Humankind,Yuval Noah Harari
"The Big Fat Surprise: Why Butter, Meat and Cheese Belong in a Healthy Diet",Nina Teicholz
"Good Calories, Bad Calories: Fats, Carbs, and the Controversial Science of Diet and Health",Gary Taubes
Discipline Equals Freedom: Field Manual,Jocko Willink
Rogue Warrior,Richard Marcinko
Traumatic Brain Injury: A Clinical Approach to Diagnosis and Treatment,"Mark L. Gordon, M.D."
Tales From the Blast Factory: A Brain Injured Special Forces Green Beret’s Journey Back From the Brink,Andrew Marr & Adam Marr
The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle
The Talent Code: Greatness Isn’t Born. It’s Grown. Here’s How.,Daniel Coyle
The Plant Paradox: The Hidden Dangers in “Healthy” Foods That Cause Disease and Weight Gain,Steven R. Gundry
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
Outliers: The Story of Success,Malcolm Gladwell
The Geography of Thought: How Asians and Westerners Think Differently…and Why,Richard E. Nisbett
Conan books,Robert E. Howard
The Bible,
DMT: The Spirit Molecule,Rick Strassman
The Kingdom of Matthias,Paul E. Johnson & Sean Wilentz
The Book of Mormon,Joseph Smith Jr. (Translator)
Henry VIII,William Shakespeare
This Is Not Fame: A “From What I Re-Memoir”,Doug Stanhope
Escaping the Rabbit Hole,Mick West
High Treason: The Assassination of JFK and the Case for Conspiracy,Harrison Edward Livingstone & Robert J. Groden
Best Evidence,David S. Lifton
Case Closed: Lee Harvey Oswald and the Assassination of JFK,Gerald Posner
Structural Analysis and Design to Prevent Disproportionate Collapse,Feng Fu
The 12th Planet: Book I of the Earth Chronicles,Zecharia Sitchin
Less Than Zero,Bret Easton Ellis
The Bible,
Center of the Cyclone: An Autobiography of Inner Space,John C. Lilly
Anarcho-Syndicalism: Theory and Practice,Rudolf Rocker
"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber
Propaganda,Edward Bernays
Food of the Gods,Terence McKenna
The Bhagavad Gita,Eknath Easwaran (Translator)
Civilized to Death: What Was Lost on the Way to Modernity,Christopher Ryan
The Rose Of Paracelsus: On Secrets & Sacraments,William Leonard Pickard
(unspecified book),Gary Taubes
"The Big Fat Surprise: Why Butter, Meat and Cheese Belong in a Healthy Diet",Nina Teicholz
Unconventional Medicine,Chris Kresser
The Primal Kitchen Cookbook,Mark Sisson
books by Richard Bachman,Stephen King
Kingdom of Fear,Hunter S. Thompson
The Book of Five Rings,Miyamoto Musashi
Fight for the Forgotten,Justin Wren
This Is Not Fame: A “From What I Re-Memoir”,Doug Stanhope
Digging Up Mother: A Love Story,Doug Stanhope
The Hitchhiker’s Guide to the Galaxy,Douglas Adams
Let Me Out: A Madhouse Diary,Amy ‘Bingo’ Bingaman
The Lord of the Rings,J.R.R. Tolkien
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
Discipline Equals Freedom: Field Manual,Jocko Willink
Tribe: On Homecoming and Belonging,Sebastian Junger
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","William Davis, MD"
Sapiens: A Brief History of Humankind,Yuval Noah Harari
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
A Renegade History of the United States,Thaddeus Russell
Trumpocracy: The Corruption of the American Republic,David Frum
books ,Friedrich Nietzsche
Bad Pharma: How Drug Companies Mislead Doctors and Harm Patients,Ben Goldacre
Don’t Think of an Elephant!: Know Your Values and Frame the Debate–The Essential Guide for Progressives,George Lakoff
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt
Understanding Media: The Extensions of Man,Marshall McLuhan
The Dark Tower series,Stephen King
F*cked: Being Sexually Explorative and Self-Confident in a World That’s Screwed,Krystyna Hutchinson Corinne Fisher
As Nature Made Him: The Boy Who Was Raised as a Girl,John Colapinto
The Book of Five Rings,Miyamoto Musashi
The Bible (The Tower of Babel),
The Great War for Civilisation: The Conquest of the Middle East,Robert Fisk
Non-Violence: The History of a Dangerous Idea,Mark Kurlansky
On Killing: The Psychological Cost of Learning to Kill in War and Society,Dave Grossman
Tribe: On Homecoming and Belonging,Sebastian Junger
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger
Klan-destine Relationships: A Black Man’s Odyssey in the Ku Klux Klan,Daryl Davis
Girl Logic: The Genius and the Absurdity,Iliza Shlesinger
Unconventional Medicine,Chris Kresser
books ,Dr. Seuss
"I, Candidate for Governor: And How I Got Licked",Upton Sinclair
The Paleo Cure,Chris Kresser
"The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long-term Health",Justin Sonnenburg & Erica Sonnenburg
Nutrition and Physical Degeneration,Weston A. Price
Catastrophic Care: Why Everything We Think We Know about Health Care Is Wrong,David Goldhill
Selling Sickness: How the World’s Biggest Pharmaceutical Companies Are Turning Us All Into Patients,Ray Moynihan & Alan Cassels
The Fluoride Deception,Christopher Bryson
The Secret,Rhonda Byrne
Mycelium Running: How Mushrooms Can Help Save the World,Paul Stamets
Food of the Gods,Terence McKenna
"The Invisible Landscape: Mind, Hallucinogens, and the I Ching",Terence McKenna & Dennis McKenna
Tropic of Capricorn,Henry Miller
Psilocybe Mushrooms and Their Allies,Paul Stamets
Growing Gourmet and Medicinal Mushrooms,Paul Stamets
Altered States of Consciousness: A Book of Readings,Charles T. Tart (editor)
Tribe: On Homecoming and Belonging,Sebastian Junger
Our Political Nature: The Evolutionary Origins of What Divides Us,Avi Tuschman
Black Rednecks and White Liberals,Thomas Sowell
The Bible,
The Gulag Archipelago,Aleksandr Solzhenitsyn
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
Coyote America: A Natural and Supernatural History,Dan Flores
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann & Mark Halperin
Double Down: Game Change 2012,Mark Halperin & John Heilemann
Mein Kampf,Adolf Hitler
The Man Who Fed The World,Leon Hesser
1491: New Revelations of the Americas Before Columbus,Charles C. Mann
What Happened,Hillary Rodham Clinton
Dangerous,Milo Yiannopoulos
So You’ve Been Publicly Shamed,Jon Ronson
Ladies and Gentlemen Lenny Bruce!!,Albert Goldman & Lawrence Schiller
"Mysteries, Monsters and Untold Secrets",George Laycock
Mind-Reach: Scientists Look at Psychic Abilities,Russell Targ & Harold E. Puthoff
Sekret Machines: Gods: Volume 1 of Gods Man & War,Tom DeLonge & Peter Levenda
The Bible,
books ,Zecharia Sitchin
Death on Mars: The Discovery of a Planetary Nuclear Massacre,"John E. Brandenburg, Ph.D."
Sekret Machines Book 1: Chasing Shadows,Tom DeLonge & AJ Hartley
(various novels),Tom DeLonge
Mr. Stuart’s Track: The Forgotten Life of Australia’s Greatest Explorer,John Bailey
Annihilation (Book 1 of the Southern Reach Trilogy),Jeff Vandermeer
The Book of Other People (comic strip ‘Justin M. Damiano’ by Daniel Clowes),Zadie Smith
Dead Doctors Don’t Lie,Joel D. Wallach & Ma Lan
(unspecified book),Rick Bayless
The Da Vinci Code,Dan Brown
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg
Down the Rabbit Hole: Curious Adventures and Cautionary Tales of a Former Playboy Bunny,Holly Madison
The Primal Blueprint,Mark Sisson
Tribe: On Homecoming and Belonging,Sebastian Junger
Indian Music in Performance: A Practical Introduction,Neil Sorrell & Ram Narayan
The Torah (Deuteronomy),
The Bible (Old Testament),
Selected Stories (A Nincompoop),Anton Chekhov
The Physics of Wall Street: A Brief History of Predicting the Unpredictable,James Owen Weatherall
The Qur’an,M. A. S. Abdel Haleem (Translator)
Little Red Riding Hood,The Brothers Grimm
English Fairy Tales (The Story of the Three Little Pigs),Joseph Jacobs
Grimm’s Complete Fairy Tales,The Brothers Grimm
books ,Joseph Campbell
The Epic of Gilgamesh,
Sapiens: A Brief History of Humankind,Yuval Noah Harari
The Selfish Gene,Richard Dawkins
Recovery: Freedom from Our Addictions,Russell Brand
DMT: The Spirit Molecule,Rick Strassman
The Gulag Archipelago,Aleksandr Solzhenitsyn
Moby Dick,Herman Melville
The Book of Five Rings,Miyamoto Musashi
Infinite Jest,David Foster Wallace
books ,Carl Jung
books ,Joseph Campbell
Tribe: On Homecoming and Belonging,Sebastian Junger
Protein Power,Michael R. Eades & Mary Dan Eades
(unspecified book),Gary Taubes
The Primal Blueprint,Mark Sisson
Djibouti: A Novel,Elmore Leonard
Unf*ckology: A Field Guide to Living with Guts and Confidence,Amy Alkon
The Art and Science of Low Carbohydrate Living,Jeff S. Volek & Stephen D. Phinney
The Slow Burn Fitness Revolution,"Fredrick Hahn, Mary Dan Eades & Michael R. Eades"
Biostatistics: The Bare Essentials,Geoffrey R. Norman & David L. Streiner
From Russia with Drugs (to be released May 2018),David Walsh
Lance Armstrong books ,David Walsh
If I Did It: Confessions of the Killer,O.J. Simpson
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely
Steve Jobs,Walter Isaacson
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt
Sapiens: A Brief History of Humankind,Yuval Noah Harari
books ,Tony Robbins
books ,Zig Ziglar
How To Win Friends & Influence People,Dale Carnegie
"Zen Mind, Zen Horse: The Science and Spirituality of Working with Horses","Allan J. Hamilton, MD"
The Soulacoaster: The Diary of Me,R. Kelly
I Amaze Myself!,Kay McConaughey
The Jerusalem Syndrome: My Life as a Reluctant Messiah,Marc Maron
I’m Fine…And Other Lies,Whitney Cummings
True Hallucinations,Terence McKenna
Society of the Spectacle,Guy Debord
Our Revolution: A Future to Believe In,Bernie Sanders
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
books ,Robb Wolf
Backcountry Bowhunting: A Guide to the Wild Side,Cameron R. Hanes
All In: The Education of General David Petraeus,Paula Broadwell
Born To Fight,Mark Hunt & Ben McKelvey
Beowulf,Seamus Heaney (Translator)
The Primal Blueprint,Mark Sisson
Your Dad Stole My Rake: And Other Family Dilemmas,Tom Papa
On Writing: A Memoir on the Craft,Stephen King
The Shining,Stephen King
Carrie,Stephen King
Cujo,Stephen King
The Dead Zone,Stephen King
It,Stephen King
Mr. Mercedes (The Bill Hodges Trilogy),Stephen King
Coyote America: A Natural and Supernatural History,Dan Flores
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
Welcome to the Monkey House: A Collection of Short Works (Harrison Bergeron),Kurt Vonnegut
Life of the Party: Stories of a Perpetual Man-Child,Bert Kreischer
Reclaiming History: The Assassination of President John F. Kennedy,Vincent Bugliosi
If I Did It: Confessions of the Killer,O.J. Simpson
"Hitler’s Table Talk, 1941-1944: His Private Conversations",Adolf Hitler
Genius: The Natural History of Creativity (Problems in the Behavioural Sciences),Hans Eysenck
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
The Bible,
The Odyssey,Homer
The Adventures of Pinocchio,C Collodi
Das Kapital: A Critque of Political Economy,Karl Marx
The Awkward Thoughts of W. Kamau Bell,W. Kamau Bell
The Autobiography of Malcolm X: As Told to Alex Haley,"Malcolm X, Alex Haley & Attallah Shabazz"
Aesop’s Fables (The Fox and the Grapes),Aesop
Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll
The Secret,Rhonda Byrne
"The Big Picture: On the Origins of Life, Meaning, and the Universe Itself",Sean Carroll
The Greatest Story Ever Told–So Far: Why Are We Here?,Lawrence M. Krauss
(unspecified book),Deepak Chopra
Contact,Carl Sagan
(unspecified book),Isaac Asimov
True Hallucinations: Being an Account of the Author’s Extraordinary Adventures in the Devil’s Paradise,Terence McKenna
Bad as I Wanna Be,Dennis Rodman
The Big Burn: Teddy Roosevelt and the Fire that Saved America,Timothy Egan
"Fiasco: The American Military Adventure in Iraq, 2003 to 2005",Thomas E. Ricks
The Real Man,Julian Ray
No Quarter: The Three Lives of Jimmy Page,Martin Power
The Stand,Stephen King
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
Sapiens: A Brief History of Humankind,Yuval Noah Harari
